Classification,Water,WT,dagr,Phylum,color
Candidatus_Desulfofervidus_auxilii,2.89487E-06,2.08522E-06,3.12204E-06,nosig,#EAEAEA
Syntrophus_aciditrophicus,5.18466E-06,5.4805E-06,5.66132E-06,nosig,#EAEAEA
Desulfobacca_acetoxidans,5.61825E-06,6.57412E-06,5.28757E-06,nosig,#EAEAEA
Desulfomonile_tiedjei,7.3719E-06,6.38702E-06,8.8314E-06,nosig,#EAEAEA
Thermosulfuriphilus_ammonigenes,2.35088E-06,1.50391E-06,1.52259E-06,nosig,#EAEAEA
Thermodesulfobacterium_commune,1.13768E-06,1.22467E-06,6.46392E-07,nosig,#EAEAEA
Thermodesulfobacterium_geofontis,1.96247E-06,2.25191E-06,2.36991E-06,nosig,#EAEAEA
Thermodesulfobacterium_sp__TA1,1.56764E-06,1.16107E-06,2.17903E-06,nosig,#EAEAEA
Caldimicrobium_thiodismutans,1.9544E-06,4.06593E-07,1.09401E-06,nosig,#EAEAEA
Desulfoglaeba_alkanexedens,9.73323E-06,9.84293E-06,9.6413E-06,nosig,#EAEAEA
Syntrophobacter_fumaroxidans,1.78571E-05,1.91153E-05,1.67813E-05,nosig,#EAEAEA
Desulfarculus_baarsii,5.00216E-05,4.85879E-05,4.89651E-05,nosig,#EAEAEA
Desulfocapsa_sulfexigens,4.56379E-06,4.14878E-06,4.90526E-06,nosig,#EAEAEA
